123 Maple Street, Springfield, IL 62704, USA
458 Oak Avenue, Austin, TX 73301, USA
720 Pine Drive, Denver, CO 80202, USA
912 Cedar Road, Phoenix, AZ 85001, USA
540 Birch Lane, Seattle, WA 98101, USA
230 Willow Street, Miami, FL 33101, USA
675 Aspen Court, Dallas, TX 75201, USA
389 Elm Street, Boston, MA 02108, USA
812 Walnut Avenue, Chicago, IL 60601, USA
144 River Road, Portland, OR 97201, USA
92 Hillcrest Drive, San Diego, CA 92101, USA
250 Highland Avenue, San Jose, CA 95112, USA
301 Ridge Street, Atlanta, GA 30301, USA
745 Meadow Lane, Detroit, MI 48201, USA
501 Sunrise Avenue, Orlando, FL 32801, USA
248 Sunset Street, Tampa, FL 33601, USA
182 Evergreen Court, Columbus, OH 43004, USA
712 Mountain Drive, Salt Lake City, UT 84101, USA
555 Valley Road, Nashville, TN 37201, USA
910 Westwood Lane, Charlotte, NC 28202, USA
120 Forest Avenue, Minneapolis, MN 55401, USA
447 Mill Street, Baltimore, MD 21201, USA
338 Summit Road, Portland, ME 04101, USA
880 Lakeview Court, Madison, WI 53703, USA
732 Harbor Street, Norfolk, VA 23510, USA
510 Crestwood Road, Raleigh, NC 27601, USA
699 Orchard Drive, Kansas City, MO 64101, USA
421 Sycamore Lane, Phoenix, AZ 85002, USA
951 Redwood Street, Los Angeles, CA 90001, USA
604 Cypress Road, San Francisco, CA 94102, USA
220 Westlake Drive, Sacramento, CA 95814, USA
890 Fairview Avenue, Indianapolis, IN 46204, USA
320 Grand Avenue, Tulsa, OK 74103, USA
488 Lincoln Street, Omaha, NE 68102, USA
732 Brookside Lane, Boise, ID 83702, USA
215 Lakeshore Drive, Cleveland, OH 44101, USA
930 Huntington Road, Pittsburgh, PA 15201, USA
551 Greenfield Street, Buffalo, NY 14201, USA
741 Willowbrook Road, Rochester, NY 14604, USA
840 Cedar Hill Drive, Newark, NJ 07101, USA
613 Evergreen Avenue, Providence, RI 02903, USA
200 Riverbend Road, Anchorage, AK 99501, USA
315 Maplewood Drive, Juneau, AK 99801, USA
540 Hamilton Street, Honolulu, HI 96801, USA
780 Pacific Avenue, Long Beach, CA 90802, USA
155 Northfield Road, Wichita, KS 67202, USA
650 Autumn Lane, Fargo, ND 58102, USA
780 Ridgecrest Drive, Billings, MT 59101, USA
925 Spring Street, Albuquerque, NM 87101, USA
704 Lake Avenue, Baton Rouge, LA 70801, USA
202 Highland Court, Little Rock, AR 72201, USA
334 Bridge Street, Des Moines, IA 50309, USA
510 Riverside Drive, Louisville, KY 40202, USA
820 Stonewall Avenue, Memphis, TN 38103, USA
440 Pinehurst Lane, Richmond, VA 23219, USA
998 Meadowbrook Drive, Hartford, CT 06103, USA
22 Baker Street, London NW1 6XE, UK
14 King Road, Manchester M1 2AB, UK
84 Elm Court, Birmingham B1 1AA, UK
55 Park Avenue, Liverpool L1 4AB, UK
120 River Street, Bristol BS1 1AA, UK
88 Forest Lane, Leeds LS1 2AB, UK
92 Regent Road, Newcastle NE1 1AB, UK
44 Stonehill Avenue, Glasgow G1 1AB, UK
18 Highland Drive, Edinburgh EH1 1YZ, UK
73 Maple Crescent, Cardiff CF10 1AA, UK
112 Friedrichstrasse, Berlin 10117, Germany
88 Hauptstrasse, Munich 80331, Germany
50 Gartenweg, Hamburg 20095, Germany
91 Waldstrasse, Frankfurt 60311, Germany
74 Bismarckstrasse, Cologne 50667, Germany
29 Mozartstrasse, Stuttgart 70173, Germany
65 Rheinstrasse, Dusseldorf 40210, Germany
12 Schillerplatz, Dresden 01067, Germany
48 Beethovenstrasse, Hannover 30159, Germany
90 Lindenallee, Leipzig 04103, Germany
22 Rue Lafayette, Paris 75009, France
88 Avenue Victor Hugo, Paris 75116, France
15 Rue de Lyon, Marseille 13001, France
31 Boulevard Clemenceau, Lyon 69003, France
47 Rue du Port, Lille 59000, France
19 Rue de la Gare, Nice 06000, France
63 Avenue du Parc, Toulouse 31000, France
52 Rue Nationale, Bordeaux 33000, France
29 Rue de Provence, Nantes 44000, France
88 Via Roma, Rome 00184, Italy
44 Via Milano, Milan 20121, Italy
73 Via Torino, Turin 10121, Italy
91 Via del Mare, Naples 80133, Italy
35 Via Venezia, Venice 30121, Italy
57 Via Firenze, Florence 50123, Italy
11 Via Bologna, Genoa 16121, Italy
82 Via Verona, Verona 37121, Italy
64 Via Trieste, Trieste 34121, Italy
20 Calle Mayor, Madrid 28013, Spain
71 Calle de Serrano, Madrid 28001, Spain
55 Calle de Alcala, Madrid 28014, Spain
94 Carrer de Mallorca, Barcelona 08036, Spain
18 Carrer de Valencia, Barcelona 08007, Spain
39 Avenida de Andalucia, Malaga 29006, Spain
10 Calle Real, Sevilla 41001, Spain
48 Calle del Mar, Valencia 46001, Spain
27 Calle Norte, Bilbao 48001, Spain
89 Piazza Wolnosci, Warsaw 00-001, Poland
44 Ulica Krakowska, Krakow 31-001, Poland
71 Ulica Wroclawska, Wroclaw 50-001, Poland
53 Ulica Gdanska, Gdansk 80-001, Poland
90 Ulica Rzeszowska, Rzeszow 35-001, Poland
27 Ulica Sloneczna, Poznan 60-001, Poland
18 Skeppsbron, Stockholm 11130, Sweden
55 Storgatan, Gothenburg 41124, Sweden
99 Kungsgatan, Stockholm 11143, Sweden
42 Ringvagen, Malmo 21141, Sweden
11 Karl Johans Gate, Oslo 0154, Norway
72 Storgata, Oslo 0182, Norway
39 Bryggen Street, Bergen 5003, Norway
65 Sondregate, Trondheim 7010, Norway
